contract_no,cust_id,snapshot_date_d0,snapshot_date_dn,risk_segment_d0,risk_segment_dn,recovery_score_d0,recovery_score_dn,dpd_current_d0,dpd_current_dn,nba_recommendation_d0,nba_recommendation_dn,priority_level_d0,priority_level_dn,total_ots_d0,total_ots_dn,recovery_score_delta,dpd_delta,segment_changed,nba_changed
CTR-00091-2,CUST-00091,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2195,0.1234,183,213,Somasi,Somasi,Critical,Critical,8437000.0,7670000.0,-0.0961,30,False,False
CTR-00091-3,CUST-00091,2026-08-01,2026-08-31,Can Pay,Can Pay,0.6921,0.833,434,464,Deskcoll,Deskcoll,Medium,Medium,11924000.0,11924000.0,0.14089999999999991,30,False,False
CTR-00092-1,CUST-00092,2026-08-01,2026-08-31,Can Pay,Can Pay,0.6146,0.6186,377,407,Visit,Visit,High,High,26639000.0,26639000.0,0.0040000000000000036,30,False,False
CTR-00092-2,CUST-00092,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1712,0.137,366,396,Somasi,Somasi,Critical,Critical,12120000.0,12120000.0,-0.03419999999999998,30,False,False
CTR-00093-1,CUST-00093,2026-08-01,2026-08-31,Can Pay,Cannot Pay,0.5765,0.4359,301,331,Deskcoll,Visit,High,Critical,29194000.0,27867000.0,-0.1406,30,True,True
CTR-00093-2,CUST-00093,2026-08-01,2026-08-31,Can Pay,Can Pay,0.1717,0.1545,295,325,Deskcoll,Deskcoll,High,High,54894000.0,50973000.0,-0.017199999999999993,30,False,False
CTR-00093-3,CUST-00093,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4133,0.3289,411,441,Visit,Visit,High,High,16080000.0,13400000.0,-0.08439999999999998,30,False,False
CTR-00094-1,CUST-00094,2026-08-01,2026-08-31,Can Pay,Can Pay,0.5056,0.9434,228,258,Visit,Visit,High,High,34870000.0,34870000.0,0.43779999999999997,30,False,False
CTR-00095-1,CUST-00095,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1916,0.1028,276,306,Somasi,Somasi,Critical,Critical,19513000.0,19513000.0,-0.08879999999999999,30,False,False
CTR-00096-1,CUST-00096,2026-08-01,2026-08-31,Can Pay,Can Pay,0.7818,0.5122,275,305,Deskcoll,Deskcoll,High,High,31344000.0,29385000.0,-0.26960000000000006,30,False,False
CTR-00097-1,CUST-00097,2026-08-01,2026-08-31,Can Pay,Can Pay,0.8422,0.8812,297,327,Deskcoll,Deskcoll,Medium,Medium,18720000.0,16640000.0,0.039000000000000035,30,False,False
CTR-00098-1,CUST-00098,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0615,0.0519,171,201,Somasi,Somasi,Critical,Critical,9909000.0,9909000.0,-0.009599999999999997,30,False,False
CTR-00099-1,CUST-00099,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2754,0.254,144,174,Somasi,Somasi,Critical,Critical,6692000.0,5736000.0,-0.021399999999999975,30,False,False
CTR-00099-2,CUST-00099,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2596,0.1864,256,286,Somasi,Somasi,Critical,Critical,9576000.0,9576000.0,-0.07319999999999999,30,False,False
CTR-00100-1,CUST-00100,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.2703,0.3363,287,317,Somasi,Visit,Critical,Critical,60608000.0,60608000.0,0.066,30,True,True
CTR-00101-1,CUST-00101,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0165,0.0252,241,271,Somasi,Somasi,Critical,Critical,7839000.0,7839000.0,0.0087,30,False,False
CTR-00102-1,CUST-00102,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4072,0.4912,177,207,Visit,Visit,Medium,Medium,4401000.0,4401000.0,0.08400000000000002,30,False,False
CTR-00102-2,CUST-00102,2026-08-01,2026-08-31,Can Pay,Can Pay,0.7747,0.7948,319,349,Deskcoll,Deskcoll,Medium,Medium,7832000.0,7120000.0,0.020099999999999896,30,False,False
CTR-00103-1,CUST-00103,2026-08-01,2026-08-31,Can Pay,Can Pay,0.65,0.6209,0,0,Deskcoll,Deskcoll,Medium,Medium,12243000.0,10494000.0,-0.029100000000000015,0,False,False
CTR-00103-2,CUST-00103,2026-08-01,2026-08-31,Can Pay,Can Pay,0.7069,0.8294,734,764,Deskcoll,Deskcoll,Medium,Medium,10640000.0,9310000.0,0.12250000000000005,30,False,False
CTR-00103-3,CUST-00103,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2763,0.1781,186,216,Somasi,Visit,Critical,High,10330000.0,0.0,-0.09819999999999998,30,False,True
CTR-00104-1,CUST-00104,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4182,0.432,0,14,Visit,Visit,High,High,1619000.0,1619000.0,0.013799999999999979,14,False,False
CTR-00104-2,CUST-00104,2026-08-01,2026-08-31,Can Pay,Can Pay,0.6127,0.4335,267,297,WA,Deskcoll,Medium,Medium,5052000.0,5052000.0,-0.17920000000000003,30,False,True
CTR-00105-1,CUST-00105,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.3719,0.3756,612,642,Visit,Visit,High,High,13920000.0,13920000.0,0.003699999999999981,30,False,False
CTR-00105-2,CUST-00105,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0753,0.0708,454,484,Pickup,Pickup,Critical,Critical,20398000.0,20398000.0,-0.004500000000000004,30,False,False
CTR-00106-1,CUST-00106,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0857,0.0775,135,165,Visit,Visit,High,High,4218000.0,4218000.0,-0.008199999999999999,30,False,False
CTR-00106-2,CUST-00106,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1513,0.1249,154,184,Somasi,Somasi,Critical,Critical,15708000.0,15708000.0,-0.026399999999999993,30,False,False
CTR-00107-1,CUST-00107,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0647,0.0539,97,127,Somasi,Somasi,Critical,Critical,5160000.0,5160000.0,-0.01079999999999999,30,False,False
CTR-00108-1,CUST-00108,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0934,0.1064,239,269,Somasi,Somasi,Critical,Critical,7429000.0,7038000.0,0.012999999999999998,30,False,False
CTR-00108-2,CUST-00108,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.2818,0.3855,166,196,Somasi,Visit,Critical,High,14067000.0,14067000.0,0.10370000000000001,30,True,True
CTR-00108-3,CUST-00108,2026-08-01,2026-08-31,Won't Pay,Can Pay,0.1589,0.5504,359,389,Somasi,Deskcoll,Critical,Medium,15552000.0,15552000.0,0.39149999999999996,30,True,True
CTR-00109-1,CUST-00109,2026-08-01,2026-08-31,Can Pay,Cannot Pay,0.5699,0.4309,187,217,Visit,Visit,Medium,High,6885000.0,6885000.0,-0.13899999999999996,30,True,False
CTR-00110-1,CUST-00110,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.1537,0.4248,166,196,Somasi,Visit,Critical,Critical,32940000.0,32940000.0,0.2711,30,True,True
CTR-00111-1,CUST-00111,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1884,0.1621,357,387,Visit,Visit,High,High,4704000.0,4704000.0,-0.026300000000000018,30,False,False
CTR-00112-1,CUST-00112,2026-08-01,2026-08-31,Can Pay,Can Pay,0.5655,0.7139,184,214,Deskcoll,Deskcoll,High,High,21642000.0,21642000.0,0.14839999999999998,30,False,False
CTR-00112-2,CUST-00112,2026-08-01,2026-08-31,Won't Pay,Can Pay,0.1694,0.7204,412,442,Somasi,Deskcoll,Critical,Medium,14232000.0,14232000.0,0.551,30,True,True
CTR-00113-1,CUST-00113,2026-08-01,2026-08-31,Can Pay,Can Pay,0.7753,0.7771,617,647,Deskcoll,Deskcoll,Medium,Medium,16680000.0,16680000.0,0.0018000000000000238,30,False,False
CTR-00114-1,CUST-00114,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0749,0.0864,717,747,Somasi,Somasi,Critical,Critical,13720000.0,13720000.0,0.01150000000000001,30,False,False
CTR-00115-1,CUST-00115,2026-08-01,2026-08-31,Can Pay,Can Pay,0.8201,0.741,249,279,Deskcoll,Deskcoll,Medium,Medium,14328000.0,14328000.0,-0.07910000000000006,30,False,False
CTR-00116-1,CUST-00116,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4911,0.4958,640,670,Visit,Visit,High,High,17578000.0,16544000.0,0.0047000000000000375,30,False,False
CTR-00116-2,CUST-00116,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.3182,0.4926,253,283,Visit,Visit,High,High,6104000.0,6104000.0,0.1744,30,False,False
CTR-00116-3,CUST-00116,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3858,0.2283,373,403,Visit,Somasi,High,Critical,8636000.0,8128000.0,-0.15749999999999997,30,True,True
CTR-00117-1,CUST-00117,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3424,0.2492,369,399,Visit,Somasi,High,Critical,16870000.0,16870000.0,-0.09319999999999998,30,True,True
CTR-00117-2,CUST-00117,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.1109,0.3949,291,321,Pickup,Visit,Critical,Critical,56830000.0,56830000.0,0.284,30,True,True
CTR-00118-1,CUST-00118,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3293,0.1909,517,547,Visit,Somasi,Critical,Critical,33150000.0,30600000.0,-0.1384,30,True,True
CTR-00119-1,CUST-00119,2026-08-01,2026-08-31,Can Pay,Cannot Pay,0.5108,0.4656,513,543,Deskcoll,Visit,Medium,High,13585000.0,12870000.0,-0.04520000000000002,30,True,True
CTR-00120-1,CUST-00120,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0067,0.0085,662,692,Somasi,Somasi,Critical,Critical,7182000.0,7182000.0,0.0018000000000000004,30,False,False
CTR-00121-1,CUST-00121,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.2503,0.3512,227,257,Somasi,Visit,Critical,Critical,36990000.0,34524000.0,0.10089999999999999,30,True,True
CTR-00122-1,CUST-00122,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2917,0.2533,866,896,Somasi,Somasi,Critical,Critical,8119000.0,8119000.0,-0.03839999999999999,30,False,False
CTR-00123-1,CUST-00123,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.2613,0.3631,697,727,Pickup,Visit,Critical,Critical,26620000.0,26620000.0,0.1018,30,True,True
CTR-00123-2,CUST-00123,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.3875,0.4868,223,253,Visit,Visit,Critical,Critical,48444000.0,46242000.0,0.0993,30,False,False
CTR-00123-3,CUST-00123,2026-08-01,2026-08-31,Can Pay,Can Pay,0.657,0.5744,380,410,Deskcoll,Deskcoll,Medium,Medium,7520000.0,6016000.0,-0.0826,30,False,False
CTR-00124-1,CUST-00124,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.4706,0.523,173,203,Visit,Deskcoll,High,Medium,12924000.0,11847000.0,0.0524,30,True,True
CTR-00125-1,CUST-00125,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2423,0.1826,383,413,Somasi,Visit,Critical,High,5608000.0,4907000.0,-0.059699999999999975,30,False,True
CTR-00126-2,CUST-00126,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.241,0.235,554,584,Pickup,Pickup,Critical,Critical,20286000.0,20286000.0,-0.006000000000000005,30,False,False
CTR-00127-1,CUST-00127,2026-08-01,2026-08-31,Can Pay,Can Pay,0.1147,0.0899,130,160,Deskcoll,Deskcoll,Medium,Medium,9126000.0,8112000.0,-0.024800000000000003,30,False,False
CTR-00129-1,CUST-00129,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.1484,0.3615,229,259,Somasi,Visit,Critical,Medium,5357000.0,4870000.0,0.21309999999999998,30,True,True
CTR-00130-1,CUST-00130,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.15,0.4605,124,154,Somasi,Visit,Critical,Critical,23730000.0,23730000.0,0.3105,30,True,True
CTR-00131-1,CUST-00131,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.096,0.1717,217,247,Somasi,Somasi,Critical,Critical,12850000.0,12850000.0,0.07569999999999999,30,False,False
CTR-00132-1,CUST-00132,2026-08-01,2026-08-31,Can Pay,Can Pay,0.571,0.5833,800,830,Deskcoll,Deskcoll,Medium,Medium,13680000.0,12920000.0,0.012300000000000089,30,False,False
CTR-00133-1,CUST-00133,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.185,0.4385,190,220,Pickup,Visit,Critical,Critical,27192000.0,27192000.0,0.2535,30,True,True
CTR-00133-2,CUST-00133,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.1502,0.3694,380,410,Somasi,Visit,Critical,High,13232000.0,13232000.0,0.2192,30,True,True
CTR-00134-1,CUST-00134,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.4515,0.5064,352,382,Visit,Deskcoll,Critical,High,20808000.0,20808000.0,0.05489999999999995,30,True,True
CTR-00134-2,CUST-00134,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4014,0.4469,208,238,Deskcoll,Deskcoll,High,High,16371000.0,14552000.0,0.04550000000000004,30,False,False
CTR-00135-1,CUST-00135,2026-08-01,2026-08-31,Won't Pay,Can Pay,0.2925,0.7449,142,172,Somasi,Deskcoll,Critical,Medium,9225000.0,9225000.0,0.4524,30,True,True
CTR-00136-1,CUST-00136,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.048,0.1495,554,584,Somasi,Somasi,Critical,Critical,54820000.0,54820000.0,0.10149999999999999,30,False,False
CTR-00137-1,CUST-00137,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2285,0.1059,244,274,Somasi,Somasi,Critical,Critical,11862000.0,11862000.0,-0.12260000000000001,30,False,False
CTR-00138-1,CUST-00138,2026-08-01,2026-08-31,Can Pay,Can Pay,0.1159,0.118,121,151,Deskcoll,WA,Medium,Low,11178000.0,0.0,0.0020999999999999908,30,False,True
CTR-00138-2,CUST-00138,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1015,0.1795,640,670,Somasi,Somasi,Critical,Critical,32246000.0,32246000.0,0.07799999999999999,30,False,False
CTR-00139-1,CUST-00139,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.2752,0.4425,354,384,Somasi,Visit,Critical,High,7462000.0,6888000.0,0.1673,30,True,True
CTR-00139-2,CUST-00139,2026-08-01,2026-08-31,Can Pay,Can Pay,0.7397,0.8412,555,585,Deskcoll,Deskcoll,High,High,29134000.0,27053000.0,0.10149999999999992,30,False,False
CTR-00140-1,CUST-00140,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.2407,0.3461,192,222,Visit,Visit,High,Medium,2940000.0,2940000.0,0.10540000000000002,30,True,False
CTR-00140-2,CUST-00140,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1212,0.0822,291,321,Visit,Visit,Critical,Critical,4370000.0,4370000.0,-0.03900000000000001,30,False,False
CTR-00141-1,CUST-00141,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.4271,0.6782,178,208,Visit,Deskcoll,Critical,Medium,5310000.0,5310000.0,0.25110000000000005,30,True,True
CTR-00141-2,CUST-00141,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1642,0.1117,177,207,Somasi,Somasi,Critical,Critical,11133000.0,11133000.0,-0.05250000000000002,30,False,False
CTR-00142-1,CUST-00142,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0211,0.0198,567,597,Somasi,Somasi,Critical,Critical,12060000.0,12060000.0,-0.001299999999999999,30,False,False
CTR-00143-1,CUST-00143,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3075,0.2262,644,674,Visit,Somasi,Critical,Critical,57425000.0,57425000.0,-0.08129999999999998,30,True,True
CTR-00144-1,CUST-00144,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.3479,0.3064,0,0,Deskcoll,Deskcoll,High,High,19944000.0,17451000.0,-0.04149999999999998,0,False,False
CTR-00144-2,CUST-00144,2026-08-01,2026-08-31,Can Pay,Can Pay,0.5138,0.8581,314,344,Deskcoll,Deskcoll,Low,Low,3864000.0,3864000.0,0.34429999999999994,30,False,False
CTR-00145-1,CUST-00145,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4475,0.3799,552,582,Visit,Visit,High,High,7512000.0,7512000.0,-0.0676,30,False,False
CTR-00146-1,CUST-00146,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0693,0.0693,395,425,Somasi,Somasi,Critical,Critical,5379000.0,5379000.0,0.0,30,False,False
CTR-00147-1,CUST-00147,2026-08-01,2026-08-31,Can Pay,Can Pay,0.8143,0.6345,275,305,Deskcoll,Deskcoll,Medium,Medium,10486000.0,8988000.0,-0.17980000000000007,30,False,False
CTR-00147-2,CUST-00147,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2343,0.1513,493,523,Somasi,Somasi,Critical,Critical,9919000.0,9919000.0,-0.08300000000000002,30,False,False
CTR-00147-3,CUST-00147,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0552,0.0891,585,615,Somasi,Somasi,Critical,Critical,16790000.0,16790000.0,0.0339,30,False,False
CTR-00148-2,CUST-00148,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1868,0.2254,255,285,Somasi,Somasi,Critical,Critical,14180000.0,14180000.0,0.038599999999999995,30,False,False
CTR-00149-1,CUST-00149,2026-08-01,2026-08-31,Can Pay,Can Pay,0.6375,0.6349,554,584,Deskcoll,Deskcoll,High,High,26422000.0,26422000.0,-0.0025999999999999357,30,False,False
CTR-00150-1,CUST-00150,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0239,0.0226,251,281,Somasi,Somasi,Critical,Critical,5776000.0,5776000.0,-0.0013000000000000025,30,False,False
CTR-00151-1,CUST-00151,2026-08-01,2026-08-31,Won't Pay,Can Pay,0.1181,0.864,179,209,Somasi,Deskcoll,Critical,High,21700000.0,21700000.0,0.7459,30,True,True
CTR-00152-1,CUST-00152,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0657,0.0278,124,154,Somasi,Somasi,Critical,Critical,6276000.0,6276000.0,-0.037899999999999996,30,False,False
CTR-00153-1,CUST-00153,2026-08-01,2026-08-31,Can Pay,Can Pay,0.6953,0.7057,770,800,Deskcoll,Deskcoll,High,High,27190000.0,24471000.0,0.010399999999999965,30,False,False
CTR-00154-1,CUST-00154,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.4502,0.613,355,385,Visit,Deskcoll,High,Medium,8265000.0,6612000.0,0.1628,30,True,True
CTR-00154-2,CUST-00154,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.132,0.2134,0,22,Somasi,Somasi,Critical,Critical,8823000.0,8823000.0,0.0814,22,False,False
CTR-00155-1,CUST-00155,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.237,0.3602,215,245,Somasi,Visit,Critical,High,7843000.0,7130000.0,0.12320000000000003,30,True,True
CTR-00155-2,CUST-00155,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3791,0.2437,377,407,Visit,Visit,Medium,High,2844000.0,2844000.0,-0.1354,30,True,False
CTR-00156-1,CUST-00156,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1041,0.116,171,201,Somasi,Somasi,Critical,Critical,15928000.0,15928000.0,0.011900000000000008,30,False,False
CTR-00157-1,CUST-00157,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2903,0.2728,678,708,Somasi,Somasi,Critical,Critical,8606000.0,8606000.0,-0.017500000000000016,30,False,False
CTR-00158-1,CUST-00158,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.282,0.1122,470,500,Somasi,Somasi,Critical,Critical,8532000.0,8532000.0,-0.16979999999999998,30,False,False
CTR-00158-2,CUST-00158,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.162,0.2167,553,583,Somasi,Somasi,Critical,Critical,17871000.0,17871000.0,0.0547,30,False,False
CTR-00158-3,CUST-00158,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0836,0.1252,689,719,Somasi,Somasi,Critical,Critical,5727000.0,5727000.0,0.04160000000000001,30,False,False
CTR-00159-1,CUST-00159,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0472,0.0366,471,501,Somasi,Somasi,Critical,Critical,6975000.0,6975000.0,-0.010599999999999998,30,False,False
CTR-00159-2,CUST-00159,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1553,0.0919,127,157,Somasi,Somasi,Critical,Critical,9636000.0,9636000.0,-0.0634,30,False,False
CTR-00160-1,CUST-00160,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.278,0.1648,568,598,Pickup,Pickup,Critical,Critical,83789000.0,83789000.0,-0.11320000000000002,30,False,False
CTR-00160-2,CUST-00160,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.1153,0.4271,249,279,Somasi,Visit,Critical,High,19960000.0,19960000.0,0.31179999999999997,30,True,True
CTR-00160-3,CUST-00160,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.3859,0.4268,336,366,Visit,Visit,Critical,Critical,86944000.0,82368000.0,0.04089999999999999,30,False,False
CTR-00161-1,CUST-00161,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.1662,0.3532,520,550,Somasi,Visit,Critical,Critical,35451000.0,31512000.0,0.18700000000000003,30,True,True
CTR-00162-1,CUST-00162,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.3373,0.8699,325,355,Visit,Deskcoll,High,Medium,6540000.0,6540000.0,0.5326,30,True,True
CTR-00163-1,CUST-00163,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.4595,0.5124,432,462,Visit,Deskcoll,High,Medium,15498000.0,15498000.0,0.05289999999999995,30,True,True
CTR-00164-2,CUST-00164,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.088,0.211,215,245,Pickup,Pickup,Critical,Critical,36080000.0,32800000.0,0.123,30,False,False
CTR-00165-1,CUST-00165,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0434,0.0533,186,216,Somasi,Somasi,Critical,Critical,7668000.0,7029000.0,0.009899999999999999,30,False,False
CTR-00166-1,CUST-00166,2026-08-01,2026-08-31,Can Pay,Cannot Pay,0.5504,0.3241,367,397,Deskcoll,Visit,High,Critical,34875000.0,34875000.0,-0.2263,30,True,True
CTR-00166-2,CUST-00166,2026-08-01,2026-08-31,Can Pay,Cannot Pay,0.5514,0.4071,392,422,Deskcoll,Visit,High,Critical,30362000.0,28764000.0,-0.14429999999999998,30,True,True
CTR-00167-1,CUST-00167,2026-08-01,2026-08-31,Can Pay,Can Pay,0.0801,0.1031,158,188,Visit,Visit,Medium,Medium,2608000.0,2608000.0,0.022999999999999993,30,False,False
CTR-00168-1,CUST-00168,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1765,0.1893,252,282,Somasi,Somasi,Critical,Critical,16926000.0,16926000.0,0.012800000000000006,30,False,False
CTR-00169-1,CUST-00169,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0472,0.0427,422,452,Somasi,Somasi,Critical,Critical,92530000.0,92530000.0,-0.004499999999999997,30,False,False
CTR-00170-1,CUST-00170,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0618,0.0601,597,627,Somasi,Somasi,Critical,Critical,17514000.0,17514000.0,-0.0017000000000000001,30,False,False
CTR-00171-1,CUST-00171,2026-08-01,2026-08-31,Cannot Pay,Won't Pay,0.3292,0.2989,617,647,Visit,Somasi,High,Critical,19134000.0,18071000.0,-0.030299999999999994,30,True,True
CTR-00172-1,CUST-00172,2026-08-01,2026-08-31,Won't Pay,Cannot Pay,0.0856,0.3391,322,352,Visit,Visit,High,Medium,4410000.0,4410000.0,0.2535,30,True,False
CTR-00172-2,CUST-00172,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.4845,0.5707,804,834,Visit,Deskcoll,High,Medium,6840000.0,6498000.0,0.0862,30,True,True
CTR-00173-1,CUST-00173,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0865,0.1975,173,203,Pickup,Pickup,Critical,Critical,27270000.0,27270000.0,0.11100000000000002,30,False,False
CTR-00173-2,CUST-00173,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1322,0.2095,342,372,Pickup,Somasi,Critical,Critical,20264000.0,17731000.0,0.07729999999999998,30,False,True
CTR-00174-1,CUST-00174,2026-08-01,2026-08-31,Cannot Pay,Can Pay,0.4785,0.5898,160,190,Visit,Deskcoll,High,Medium,12177000.0,10824000.0,0.11130000000000001,30,True,True
CTR-00174-2,CUST-00174,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.188,0.2305,234,264,Somasi,Visit,Critical,High,6080000.0,4864000.0,0.04250000000000001,30,False,True
CTR-00176-1,CUST-00176,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0175,0.0175,627,657,Somasi,Somasi,Critical,Critical,8381000.0,8381000.0,0.0,30,False,False
CTR-00177-1,CUST-00177,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2783,0.2948,160,190,Somasi,Somasi,Critical,Critical,9100000.0,9100000.0,0.016500000000000015,30,False,False
CTR-00177-2,CUST-00177,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.285,0.2172,683,713,Somasi,Somasi,Critical,Critical,10005000.0,10005000.0,-0.06779999999999997,30,False,False
CTR-00177-3,CUST-00177,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.236,0.1569,641,671,Visit,Visit,High,High,3184000.0,2985000.0,-0.07909999999999998,30,False,False
CTR-00178-1,CUST-00178,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2226,0.0826,42,42,Somasi,Visit,Critical,High,5574000.0,4645000.0,-0.13999999999999999,0,False,True
CTR-00179-1,CUST-00179,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1067,0.2253,554,584,Somasi,Somasi,Critical,Critical,13338000.0,12825000.0,0.1186,30,False,False
CTR-00180-1,CUST-00180,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2873,0.2838,477,507,Somasi,Somasi,Critical,Critical,9616000.0,9015000.0,-0.003500000000000003,30,False,False
CTR-00181-1,CUST-00181,2026-08-01,2026-08-31,Cannot Pay,Cannot Pay,0.4294,0.3156,105,135,Visit,Visit,High,High,8360000.0,8360000.0,-0.11380000000000001,30,False,False
CTR-00182-1,CUST-00182,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0628,0.0675,299,329,Somasi,Somasi,Critical,Critical,31284000.0,31284000.0,0.00470000000000001,30,False,False
CTR-00183-1,CUST-00183,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1354,0.1464,580,610,Somasi,Somasi,Critical,Critical,30300000.0,30300000.0,0.01100000000000001,30,False,False
CTR-00184-1,CUST-00184,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.0525,0.0512,446,476,Somasi,Somasi,Critical,Critical,10197000.0,10197000.0,-0.0012999999999999956,30,False,False
CTR-00185-1,CUST-00185,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.1098,0.1299,285,315,Somasi,Somasi,Critical,Critical,6655000.0,6050000.0,0.020099999999999993,30,False,False
CTR-00185-2,CUST-00185,2026-08-01,2026-08-31,Can Pay,Can Pay,0.5355,0.5044,496,526,Deskcoll,Deskcoll,Medium,Low,5291000.0,4810000.0,-0.031100000000000017,30,False,False
CTR-00186-1,CUST-00186,2026-08-01,2026-08-31,Won't Pay,Won't Pay,0.2561,0.279,164,194,Somasi,Somasi,Critical,Critical,13400000.0,13400000.0,0.02290000000000003,30,False,False
